Season,Name,Team,K%+,BB%+,AVG+,SLG+,NameASCII,PlayerId,MLBAMID
2018,"Enny Romero","- - -",0,0,394.07863196789907,479.49767285001207,"Enny Romero",4001,544836
2016,"Matt Albers","CHW",0,0,388.4275231517951,471.8553588024697,"Matt Albers",4300,458006
2017,"Sean Gilmartin","NYM",0,0,382.686122269573,457.4334881744523,"Sean Gilmartin",12781,543219
2017,"Raisel Iglesias","CIN",0,0,382.686122269573,457.4334881744523,"Raisel Iglesias",17130,628452
2017,"Erik Kratz","NYY",0,0,390.28925744801523,348.93551116130715,"Erik Kratz",4403,456124
2016,"Chris Parmelee","NYY",181.52391568708393,0,194.21376157589756,324.4005591766979,"Chris Parmelee",2554,476633
2018,"A.J. Cole","- - -",115.86973666063119,0,131.35954385794014,319.66511515342506,"A.J. Cole",11467,595918
2020,"Luis Campusano","SDP",216.38639248016344,0,135.2472951955122,316.54551901489316,"Luis Campusano",22217,669134
2016,"Anthony Ranaudo","- - -",161.3545915604978,0,129.47584092112254,314.5702391230039,"Anthony Ranaudo",11424,519168
2016,"Yu Darvish","TEX",161.3545915604978,0,129.47584092112254,314.5702391230039,"Yu Darvish",13074,506433
2019,"Aaron Wilkerson","MIL",152.49654992675482,0,129.25829394055356,299.57623812309333,"Aaron Wilkerson",16904,658792
2017,"Darrell Ceciliani","TOR",0,0,156.1157029792061,279.1484089290457,"Darrell Ceciliani",9954,571553
2018,"Ryder Jones","SFG",289.67434165157795,0,147.77948698796217,269.7174409781318,"Ryder Jones",15982,624507
2017,"Francisco Peña","BAL",140.8841006595556,0,195.14462872400765,255.88604151829193,"Francisco Pena",8298,506747
2016,"Trey Mancini","BAL",129.08367305477273,0,138.72411535586576,252.7796564002112,"Trey Mancini",15149,641820
2018,"Vidal Nuño","TBR",0,0,400.330363147126,240.0372791966602,"Vidal Nuno",9674,573064
2018,"Kyle Gibson","MIN",0,0,400.330363147126,240.0372791966602,"Kyle Gibson",10123,502043
2018,"Dan Jennings","MIL",154.49298205968194,0,262.7190877158803,239.74883642500603,"Dan Jennings",8073,543359
2018,"Jesse Biddle","ATL",0,0,197.03931598394954,239.74883642500603,"Jesse Biddle",11437,592145
2018,"Derek Law","SFG",0,0,394.07863196789907,239.74883642500603,"Derek Law",13133,571882
